	Restaurant	Food restrictions	Menu	Menu Eng
747	Fuji Biyori	['Gluten-free', 'Vegan', 'Vegetarian']	"Mains | Omakase : Omakase translates as ""I'll leave it up to you"". It is essentially trusting the professional to decide something for you.Ordering omakase in a restaurant means you are relinquishing control of your meal to your chef. We will provide you with a selection of curated dishes depending on seasonality and our professional judgement.We only accept Omakase reservations for dinner. In order to ensure quality of omakase dishes, please make reservations two days in advance. After you make a reservation, our chef will contact you to discuss the dishes with you.6 dishes in total"	"Mains / Omakase: Omakase translates as""I'll leave it up to you"". It is essentially trusting the professional to decide something for you.Ordering omakase in a restaurant means you are relinquishing control of your meal to your chef. We will provide you with a selection of curated dishes depending on seasonality and our professional judgement.We only accept Omakase reservations for dinner. In order to ensure quality of omakase dishes, please make reservations two days in advance. After you make a reservation, our chef will contact you to discuss the dishes with you.6 dishes in total"
748	Fuji Biyori	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Tonkotsu Ramen : Chashu pork, season egg, ramen, seaweed, kamaboko, wheat flour, soup including pork, chicken, fish, soy sauce, seasoning. Choice of vegetarian or seafood options.The soup base that took 15 hours to cook, handmade ramen	Mains / Tonkotsu Ramen: Chashu pork, season egg, ramen, seaweed, kamaboko, wheat flour, soup including pork, chicken, fish, soy sauce, seasoning. Choice of vegetarian or seafood options.The soup base that took 15 hours to cook, handmade ramen
749	Fuji Biyori	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Yakitori : Grilled chicken	Mains / Yakitori: Grilled chicken
750	Fuji Biyori	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Mini Salmon Donburi	Mains / Mini Salmon Donburi
751	The Schnitzel Tripla	['Gluten-free', 'Vegan', 'Vegetarian']	Burgers | PERÄLÄN PERUSVARMA BURGER : Juha Perälän kehittämä burgeri! 100 % naudanlihapihvi, Monterey Jack -juusto, paistettu kananmuna, paistettu ananas, tomaatti, ketsuppi, BBQ-kastike, talon burgerikastike, suolakurkku, salaatti, ja ranskalaiset	Burgers / Perälä'S basic BURGER: a burger developed by Juha Perälä! 100 % beef steak, Monterey Jack cheese, fried egg, fried pineapple, tomato, ketchup, BBQ sauce, house burger sauce, pickle, salad, and fries
752	The Schnitzel Tripla	['Gluten-free', 'Vegan', 'Vegetarian']	Burgers | LUCKY BACON BURGER : 100% naudanlihapihvi, cheddarjuustoa, pekonia, paistettua sipulia, salaattia, suolakurkkua, talon burgerikastiketta ja ranskalaiset	Burgers / LUCKY BACON BURGER: 100% beef patty, cheddar cheese, bacon, fried onion, salad, pickles, house burger sauce and fries
753	The Schnitzel Tripla	['Gluten-free', 'Vegan', 'Vegetarian']	Burgers | LUCKY VEGE BURGER : Beyondpihvi, cheddarjuustoa tai vegaanijuusto, talon guacamolea, salaattia, pikkelöityä punasipulia, lime-aioli ja ranskalaiset	Burgers / LUCKY VEGE BURGER: beyond steak, cheddar cheese or vegan cheese, house guacamole, salad, pickled red onion, lime aioli and fries
754	The Schnitzel Tripla	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | GRILLED SALMON : Pariloitu lohi 160g	Mains / GRILLED SALMON: grilled salmon 160g
755	The Schnitzel Tripla	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | LIHAPULLAT : Itsetehdyt maukkaat naudanlihapullat	Mains / meatballs: homemade tasty beef buns
756	The Schnitzel Tripla	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | THE CLASSIC WIENER SCHNITZEL : Paneroitu vasikan ulkofilee,  medium 135 g	Mains / the CLASSIC WIENER SCHNITZEL: breaded veal sirloin, medium 135 g
757	The Schnitzel Tripla	['Gluten-free', 'Vegan', 'Vegetarian']	Snacks | KANATACOT : Rapean tacon sisällä grillattua kanan rintafileetä, rapeaa salaattia, talon guacamolea ja mausteista jalapenosalsaa (2 kpl)	Snacks / chicken tacos: grilled chicken breast fillet, crispy salad, house guacamole and spicy jalapenos salsa (2 pieces)
758	The Schnitzel Tripla	['Gluten-free', 'Vegan', 'Vegetarian']	Snacks | VEGAANISET “ETANAT” SIENISTÄ : Valkosipulib*tterissa paistetut sienet (6 kpl) & talon leipää. Saatavana myös aurajuustovoilla (ei vegaaninen)	"Snacks | vegan ""snails"" from mushrooms : garlic B*tter fried mushrooms (6 pieces) & house bread. Also available with Aura cheese butter (not vegan)"
759	The Schnitzel Tripla	['Gluten-free', 'Vegan', 'Vegetarian']	Snacks | AVOKADOSALAATTI : Raikasta vihersalaattia, avokadoa, hunajamelonia, minitomaatteja, pikkelöityä punasipulia, paahdettuja siemeniä ja talon ranch-kastike	Snacks | avocado salad: crisp green salad, avocado, honeydew, mini tomatoes, pickled red onion, roasted seeds and house ranch dressing
760	Makaronitehdas REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | RUSTIIKKINEN MAALAISLEIPÄ : Meillä tänään paistettua maalaisleipää oliiviöljyn ja balsamicon kera	Starters / rustic country bread: we have country bread fried today with olive oil and balsamico
761	Makaronitehdas REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | JOKIRAPU-CAESARSALAATTI : Jokirapuja, romainesalaattia, talon raikasta caesarkastiketta, parmesaanilastuja ja krutonkeja	Starters / crayfish Caesar salad: crayfish, romaine lettuce, House fresh Caesar sauce, parmesan chips and croutons
762	Makaronitehdas REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | VIHERSALAATTI : Pastan rinnalle vihersalaatti. Rucolaa, romainesalaattia, oliiviöljyä ja sitrusvinaigretteä	Starters / green salad: green salad alongside pasta. Arugula, romaine lettuce, olive oil and citrus vinaigrette
763	Makaronitehdas REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Pasta | SALVIA-VOIPASTA : ”Cur moriatur homo cui salvia crescit in horto?” - Miksi kuolisi ihminen, jos salvia kasvaa hänen puutarhassaan? Tuoretta salviaa, voita ja parmesania	"Pasta | sage butter pasta: ""Cur moriatur homo cui sage crescit in horto?""Why should a man die if Sage grows in his garden? Fresh sage, butter and Parmesan"
764	Makaronitehdas REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Pasta | CARBONARA : Aina maittava klassikko! Rapeaksi paistettua sian savukylkeä, kermaa, kananmunaa sekä mustapippuria. Sisältää parmesania	Pasta / CARBONARA: always a tasty classic! Crispy fried pork ribs, cream, egg and black pepper. Contains Parmesan
765	Makaronitehdas REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Pasta | KOTPOT : Thaimaalaisia makuja Makaronitehdaslaisittain! Valkosipuliöljyssä tiristettyä kanaa kookosmaidossa, korianteria, inkivääriä, chiliä, punaista currya, kalakastiketta ja limeä	Pasta / KOTPOT: Thai flavours from the Macaroni Factory! Chicken fried in garlic oil in coconut milk, coriander, ginger, chilli, red curry, fish sauce and lime
766	Makaronitehdas REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | SWEET SANTA MINTTUSUKLAAJÄÄTELÖÄ : Minttusuklaan makuinen täyteläinen kermajäätelö	Desserts / SWEET SANTA mint chocolate ice cream: a rich cream ice cream flavoured with Mint Chocolate
767	Makaronitehdas REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | SUKLAA-APPELSIINILEIVOS JA SORBETTIA : Suussa sulava, täyteläinen suklaaleivos ja sorbettia	Desserts / chocolate-orange pastry with sorbet: a mouth-watering, full-bodied chocolate cake with sorbet
768	Makaronitehdas REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | BAD SANTA LIMONCELLO JÄÄTELÖÄ K-18 : Italian perhetiloilla tuotetulla limoncello-liköörillä maustettu kermajäätelö. Tuote sisältää alkoholia, eikä täten sovellu kuin täysi-ikäisille asiakkaille (alkoholipitoisuus 4%). Tätä et löydä muualta!	Desserts / BAD SANTA LIMONCELLO ice cream K-18: cream ice cream flavored with limoncello liqueur produced on Italian family farms. The product contains alcohol and is therefore not suitable for adult customers (alcohol content 4%). You won't find this anywhere else!
769	Fly Fusion Restaurant	['Gluten-free', 'Vegan', 'Vegetarian']	Lunch | TOFU SALAD BOWL : Vermicelli rice noodles, organic steamed tofu, summer salads	Lunch | TOFU SALAD BOWL: Vermicelli rice noodles, organic steamed tofu, summer salads
770	Fly Fusion Restaurant	['Gluten-free', 'Vegan', 'Vegetarian']	Lunch | BEEF SALAD BOWL : Vermicelli rice noodles, marinated well-done beef, summer salads	Lunch | BEEF SALAD BOWL: Vermicelli rice noodles, marinated well-done beef, summer salads
771	Fly Fusion Restaurant	['Gluten-free', 'Vegan', 'Vegetarian']	Lunch | VEGAN PHO + RAINBOW SALADS + HOMEMADE SAUCES : Organic steamed tofu, rice noodles, lotus root, mushroom, pak choi, kale, zucchini, red radish, daikon, carrot, coriander, sweet basil, bean sprouts, spring onion	Lunch / VEGAN PHO + RAINBOW SALADS + HOMEMADE SAUCES : Organic steamed tofu, rice noodles, lotus root, mushroom, pak choi, kale, zucchini, red radish, daikon, carrot, coriander, sweet basil, bean sprouts, spring onion
772	Fly Fusion Restaurant	['Gluten-free', 'Vegan', 'Vegetarian']	Soups | BEEF PHO : Well-done beef & rice noodles - coriander, sweet basil, bean sprouts, cilantro, spring onion, lime - onion, ginger, star anise, cinnamon	Soups / BEEF PHO : Well-done beef & rice noodles - coriander, sweet basil, bean sprouts, cilantro, spring onion, lime - onion, ginger, star anise, cinnamon
773	Fly Fusion Restaurant	['Gluten-free', 'Vegan', 'Vegetarian']	Soups | TOFU PHO : Organic steamed tofu & rice noodles - coriander, sweet basil, bean sprouts, spring onion, cilantro, lime - onion, ginger, star anise, cinnamon	Soups / TOFU PHO : Organic steamed tofu & rice noodles - coriander, sweet basil, bean sprouts, spring onion, cilantro, lime - onion, ginger, star anise, cinnamon
774	Fly Fusion Restaurant	['Gluten-free', 'Vegan', 'Vegetarian']	Noodles | CHICKEN SALAD BOWL : Vermicelli rice noodles, herbal-infused chicken breast, summer salads	Noodles | CHICKEN SALAD BOWL: Vermicelli rice noodles, herbal-infused chicken breast, summer salads
775	Fly Fusion Restaurant	['Gluten-free', 'Vegan', 'Vegetarian']	Noodles | KING PRAWN SALAD BOWL : Vermicelli rice noodles, herbal infused king prawn, summer salad	Noodles / KING PRAWN SALAD BOWL: Vermicelli rice noodles, herbal infused king prawn, summer salad
776	Fly Fusion Restaurant	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | LEMONGRASS GRILLED CHICKEN SALAD BOWL : Vermicelli rice noodles, lemongrass grilled chicken, summer salads	Mains | LEMONGRASS GRILLED CHICKEN SALAD BOWL: Vermicelli rice noodles, lemongrass grilled chicken, summer salads
777	Fly Fusion Restaurant	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | SUMMER ROLL SET 6kpl : Please choose one:-King Prawn-Bio Tofu-ChickenRice paper, rice vermicelli, herbs, fruits, vegetables, Fly Fusion signature sauces	Mains / SUMMER ROLL SET 6pcs: Please choose one: - King Prawn-Bio Tofu-chicken paper, rice vermicelli, herbs, fruits, vegetables, Fly Fusion signature sauces
778	Restaurant Stansvik	['Gluten-free', 'Vegan', 'Vegetarian']	Set Menu | Menujen saatavuus! : Saaristolaispöytä su 12-17 jonka aikana on saatavilla myös pinsoja.Ma- pe lounas klo 11-14 jonka jälkeen siirrytään syömään kesälistasta.	Set Menu / availability of menus! : Archipelago table Sun 12-17 during which is also available pinsoja.Ma-Fri lunch at 11-14 after which we move on to the summer menu.
779	Minato Sushi	['Vegan', 'Vegetarian']	Sides | Miso soup : Seaweed	Sides / Miso soup: Seaweed
780	Minato Sushi	['Vegan', 'Vegetarian']	Sides | Miso with salmon : Salmon, spring onion, seaweed	Sides / Miso with salmon : Salmon, spring onion, seaweed
781	Minato Sushi	['Vegan', 'Vegetarian']	Sides | Kimchi : Korean pickled cabbage L	Sides / Kimchi: Korean pickled cabbage L
782	Minato Sushi	['Vegan', 'Vegetarian']	Sides | Wakame : Seaweek salad with house dressing L	Sides | Wakame: Seaweek salad with house dressing L
783	Minato Sushi	['Vegan', 'Vegetarian']	Sushi | Sashimi Combo, 12 pcs : 3x salmon, 3x grilled salmon, 3x whitefish, 3x ebi G L	Sushi | Sashimi Combo, 12 pcs: 3x salmon, 3x grilled salmon, 3x whitefish, 3x ebi G L
784	Minato Sushi	['Vegan', 'Vegetarian']	Sushi | Sashimi Combo Plus 12 pcs : 3x tuna, 3x salmon, 3x grilled salmon, 3x whitefish G L	Sushi / Sashimi Combo Plus 12 pcs: 3x tuna, 3x salmon, 3x grilled salmon, 3x whitefish G L
785	Minato Sushi	['Vegan', 'Vegetarian']	Sushi | Sashimi Minato, 6pcs : 3x salmon, 3x whitefish (lime, sriracha, spring onion) G L	Sushi | Sashimi Minato, 6pcs: 3x salmon, 3x whitefish (lime, sriracha, spring onion) G L
786	Ekeko Cafe Lounge	['Gluten-free', 'Vegan', 'Vegetarian']	Fish | Ceviche : Fresh salmon marinated in citrusy leche de tigre, straight from Peru.	Fish / Ceviche : Fresh salmon marinated in citrusy leche de tigre, straight from Peru.
787	Ekeko Cafe Lounge	['Gluten-free', 'Vegan', 'Vegetarian']	Vegan | Quinoa Sandwich : Bolivian option fit for everyone.	Vegan / Quinoa Sandwich: Bolivian option fit for everyone.
788	Ekeko Cafe Lounge	['Gluten-free', 'Vegan', 'Vegetarian']	Street Food | Tostadas with chicken or jackfruit : Popular street food from Mexico.	Street Food | Tostadas with chicken or jackfruit : Popular street food from Mexico.
789	Ekeko Cafe Lounge	['Gluten-free', 'Vegan', 'Vegetarian']	Sandwiches | Cubano : Invented in Havana, perfected in Florida.	Sandwiches / Cubano : Invented in Havana, perfect in Florida.
790	Ekeko Cafe Lounge	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Alfajor : Traditional Latin-American confection filled with dulce de leche (caramel).	Desserts / Alfajor: Traditional Latin-American confection filled with dulce de leche (caramel).
791	Classic Pizza REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | CHORIZO ANTIPASTI : Chorizoa, aurinkokuivattua tomaattia, rucolaa ja aiolia.	Starters / CHORIZO ANTIPASTI: chorizo, sun-dried tomato, arugula and aioli.
792	Classic Pizza REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | TZATSIKI CEASAR SALAATTI PIENI	Starters | TZATSIKI Caesar salad small
793	Classic Pizza REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Pizza | MARGOT & RITA : Tuoretta basilikaa.Lisätäytteeksi suosittelemme mozzarella di bufalaa +3 €	Pizza / MARGOT & RITA : fresh basil.For extra filling we recommend mozzarella di bufala +3 €
794	Classic Pizza REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Pizza | TRUFFO : Rucolaa, tuoreita herkkusieniä ja siitakesieniä, punasipulia, sekä tryffeliöljyä. Vaaleapohjainen pizza, joka ei sisällä tomaattikastiketta.	Pizza / TRUFFO: arugula, fresh mushrooms and shiitake mushrooms, red onion, and truffle oil. Light-based pizza without tomato sauce.
795	Classic Pizza REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Pizza | VERDE MON DIEU! : Raastettua punajuurta, aurajuustoa, auringonkukansiemeniä, tomaattismetanaa, rucolaa, hunajaa ja seesamikastiketta	Pizza / VERDE MON DIEU! : Grated beetroot, aura cheese, sunflower seeds, tomato Methana, arugula, honey and sesame sauce
796	Classic Pizza REDI	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | SUKLAA-APPELSIINILEIVOS : Suussa sulava, täyteläinen suklaaleivos ja sorbettia.	Desserts / chocolate-orange pastry: a mouth-watering, full-bodied brownie with sorbet.
797	Bastion Bistro	['Vegetarian']	Mains | Creamy Salmon Soup L : Kermainen lohikeitto, perunaa, tilliä ja saaristolaisleipää. (Saatavana gluteenittomana tai ilman kermaa) / Creamy salmon soup, potatoes, dill, and archipelago bread. (Can be ordered gluten-free or without cream)	Mains / Creamy Salmon Soup L: creamy salmon soup with potatoes, dill and island bread. (Available gluten-free or without cream) / Creamy salmon soup, potatoes, dill, and archipelago bread. (Can be ordered gluten-free or without cream)
798	Bastion Bistro	['Vegetarian']	Mains | Scampi Risotto (L, G) : Valkosipuliöljyssä paistettuja jättikatkaravunpyrstöjä, sitruunarisottoa, rucolaa / King prawn tails fried in garlic oil, lemon risotto, arugula	Mains / Scampi Risotto (L, G): prawns fried in garlic oil, lemon risotto, arugula / King prawn tails fried in garlic oil, lemon risotto, arugula
799	Bastion Bistro	['Vegetarian']	Mains | Slow cooked beef brisket (L) : Ylikypsää naudanrintaa, punaviinikastiketta, tilliperunoita, rakuunaporkkanaa / Slow cooked beef brisket, red wine sauce, dill potatoes, tarragon carrot	Mains / Slow cooked beef brisket (L): Overcooked brisket, red wine sauce, dill potatoes , tarragon carrot / Slow cooked beef brisket, red wine sauce, dill potatoes, tarragon carrot
800	Peloton Cycling Eatery	['Gluten-free', 'Vegetarian']	Starters | BEETROOT & SMOKED MAYO : Roasted Beets Smoked Mayo & Crumbled Goat Cheese (Ve, GF, LF)	Starters | BEETROOT & SMOKED MAYO: Roasted Beets Smoked Mayo & Crumbled Goat Cheese (Ve, GF, LF)
801	Peloton Cycling Eatery	['Gluten-free', 'Vegetarian']	Starters | BORSCHT SOUP : Hearty beetroot soup served with smetana. Main course size possible. (GF, LF, available V)	Starters / BORSCHT SOUP : Hearty beetroot soup served with sour cream. Main course size possible. (GF, LF, available V)
802	Peloton Cycling Eatery	['Gluten-free', 'Vegetarian']	Starters | CROSTINI OF THE DAY : Bite Size Snacks Today Topped with Either Tuna or pesto & mozzarella (Available GF)	Starters | CROSTINI of the DAY : Bite Size Snacks Today Topped with Either Tuna or pesto & mozzarella (Available GF)
803	Peloton Cycling Eatery	['Gluten-free', 'Vegetarian']	Mains | BEEF WITH MUSHROOM CREAM : Beef steak, Mashed Potato, mushroom cream & Seasonal Vegetables (LF; GF)	Mains | BEEF WITH MUSHROOM CREAM: Beef steak, Mashed Potato, mushroom cream & Seasonal Vegetables (LF; GF)
804	Peloton Cycling Eatery	['Gluten-free', 'Vegetarian']	Mains | SEARED SALMON : Seared Salmon, Mashed Potato, Parsley Dressing & Seasonal Vegetables (LF; GF)	Mains | SEARED SALMON : Seared Salmon, Mashed Potato, Parsons Dressing & Seasonal Vegetables (LF; GF)
805	Peloton Cycling Eatery	['Gluten-free', 'Vegetarian']	Mains | PASTA OF THE WEEK : Please Ask What Our Daily Changing Handmade Pasta Menu is. (Available Vegan, Vegetarian)	Mains / PASTA of the WEEK : Please Ask what our Daily Changing Handmade Pasta Menu is. (Available Vegan, Vegetarian)
806	Peloton Cycling Eatery	['Gluten-free', 'Vegetarian']	Desserts | DATE CAKE : Chocolatey Date Sponge Cake with Berries. Ice Cream Available. (LF, V, GF)	Desserts / DATE CAKE : Chocolatey Date Sponge Cake with Berries. Ice Cream Available. (LF, V, GF)
807	Peloton Cycling Eatery	['Gluten-free', 'Vegetarian']	Desserts | FRANGIPANE : A Sweet, Almond-flavoured Cake, Served with Blueberry Jam & Vanilla Ice Cream (LF, GF)	Desserts | FRANGIPANE: a Sweet, Almond-flavoured Cake, Served with Blueberry Jam & Vanilla Ice Cream (LF, GF)
808	Peloton Cycling Eatery	['Gluten-free', 'Vegetarian']	Desserts | AFFOGATO AL CAFFE : An Espresso Shot Poured Over Our HouseMade Ice Cream (LF, VE)	Desserts / AFFOGATO AL CAFFE: An Espresso Shot Poured Over Our HouseMade Ice Cream (LF, VE)
809	Noodle Story Kallio	['Gluten-free', 'Vegan', 'Vegetarian']	Noodles | Noodles with beef in Sichuan Mala sauce : Fresh homemade noodles with slowly simmered beef in homemade Sichuan spicy sauce, tofu, Pak Choy, shimeji mushroom, bean sprouts, with spring onions and coriander on the top.	Noodles / Noodles with beef in Sichuan Mala sauce : Fresh homemade noodles with slowly simmered beef in homemade Sichuan spicy sauce, tofu, Pak Choy, shimeji mushroom, bean sprouts, with spring onions and coriander on the top.
810	Noodle Story Kallio	['Gluten-free', 'Vegan', 'Vegetarian']	Noodles | Sichuan Dandan Noodles with pork : Fresh homemade noodles with pork minced pork in sesame-peanut chili sauce, Pak Choy, bean sprouts, shimeji mushrooms and preserved vegetables, with spring onions, coriander and peanut on the top.	Noodles / Sichuan Dandan Noodles with pork : Fresh homemade noodles with pork minced pork in sesame-peanut chili sauce, Pak Choy, bean sprouts, shimeji mushrooms and preserved vegetables, with spring onions, coriander and peanut on the top.
811	Noodle Story Kallio	['Gluten-free', 'Vegan', 'Vegetarian']	Noodles | Wonton nuudelikeitto : Tuoreita kotitekoisia nuudeleita, 8 kpl kotitekoinen Wonton (broiler ja sieni), pak choi, Shimeji-sieniä, pavunituja, kevätsipulia ja korianteria.	Noodles / Wonton noodle soup: fresh homemade noodles, 8 pieces homemade Wonton (chicken and mushroom), pak choi, Shimeji mushrooms, bean sprouts, spring onions and coriander.
812	Chicco	['Gluten-free', 'Vegan', 'Vegetarian']	Antipasti | Degustazione di salumi e formaggi : Lajitelma leikkeleitä ja juustojaSelection of cured meats and cheeses	Antipasti / Degustazione di salumi e formaggi : selection of cured meats and cheeses
813	Chicco	['Gluten-free', 'Vegan', 'Vegetarian']	Antipasti | Bruschetta della casa : Bruschetta talon tapaanBruschetta of the house	Antipasti | Bruschetta della casa: Bruschetta talon tapaanBruschetta of the house
814	Chicco	['Gluten-free', 'Vegan', 'Vegetarian']	Pizza | Alba : Tomaattikastiketta, mortadellaa, burrataa, tryffelikastiketta, kirsikkatomaattejaTomato sauce, mortadella, burrata, truffle sauce, cherry tomato	Pizza / Alba: tomato sauce, mortadella, burrata, truffle sauce, cherry tomato sauce, mortadella, burrata, truffle sauce, cherry tomato
815	Chicco	['Gluten-free', 'Vegan', 'Vegetarian']	Pizza | Valtellinese : Tomaattikastiketta, bresaolaa, burrataa, kirsikkatomaatteja, rucolaa, tryffelikastikettaTomato sauce, bresaola, burrata, cherry tomato, rocket, truffle sauce	Pizza / Valtellinese: tomato sauce, bresaola, burrata, cherry tomatoes, arugula, truffle sauce, bresaola, burrata, cherry tomato, rocket, truffle sauce
816	Chicco	['Gluten-free', 'Vegan', 'Vegetarian']	Pizza | Margherita : Tomaattikastiketta, mozzarellaa, basilikaaTomato sauce, mozzarella, basil	Pizza / Margherita: tomato sauce, mozzarella, basil worm sauce, mozzarella, basil
817	Chicco	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Panna Cotta	Desserts | Panna Cotta
818	Chicco	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Tiramisu	Desserts / Tiramisu
819	Chicco	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Gelato	Desserts / Gelato
820	El Fant	['Gluten-free', 'Vegan', 'Vegetarian']	Brunch | Brunch - Saturday & Sunday 11:00-13:00 : Multiple options - for example:Vegetarian Plate 20eu (L)Includes sourdough toast, herbed butter beans, garlic pulled oats, poached egg, Koskenlaskija cheese sauce, cucumber-tomatoes, yogurt with jam, fresh fruits, filter coffee*, tea and juice€20Fish Plate 23eu (L)Includes sourdough toast, herbed butter beans, smoked salmon, poached egg, Koskenlaskija cheese sauce, cucumber-tomatoes, yogurt with jam, fresh fruits, filter coffee*, tea and juice€23Meat plate 23eu (L)Includes sourdough toast, herbed butter beans, sausages, poached egg, Koskenlaskija cheese sauce, cucumber-tomatoes, yogurt with jam, fresh fruits, filter coffee*, tea and juice€23	Brunch | Brunch - Saturday & Sunday 11:00-13:00 : Multiple options - for example:Vegetarian Plate 20eu (L)Includes sourdough toast, herbed butter beans, garlic pulled oats, poached egg, Rafter cheese sauce, cucumber-tomatoes, yogurt with jam, fresh fruits, filter coffee*, tea and juice€20fish plate 23EU (L)includes sourdough toast, herbed butter beans, smoked salmon, poached egg, Rafter cheese sauce, cucumber-tomatoes, yogurt with jam, fresh fruits, filter coffee*, tea and juice€23meat plate 23EU (L)includes sourdough toast, herbed butter beans, sausages, poached egg, river rafter cheese sauce, cucumber-tomatoes, yogurt with jam, fresh fruits, filter coffee*, tea and juice€23
821	El Fant	['Gluten-free', 'Vegan', 'Vegetarian']	Sandwiches | Pepper, Tomatoes and Anchovies (L) : Red Pepper Confit and Harissa Tomatoes, Anchovy	Sandwiches | Pepper, Tomatoes and Anchovies (L): Red Pepper Confit and Harissa Tomatoes, Anchovy
822	El Fant	['Gluten-free', 'Vegan', 'Vegetarian']	Sandwiches | Leeks and Mushrooms (L) : Braised leeks, Local Mushroom ragu	Sandwiches | Leeks and Mushrooms (L) : Braised leeks, Local Mushroom ragu
823	El Fant	['Gluten-free', 'Vegan', 'Vegetarian']	Sandwiches | Roquefort and Walnut (L) : Creamed Roquefort, Toasted Walnuts and Finnish Honey	Sandwiches / Roquefort and Walnut (L): Creamed Roquefort, Toasted Walnuts and Finnish Honey
824	El Fant	['Gluten-free', 'Vegan', 'Vegetarian']	Snacks | Miso Almonds (VG)	Snacks | Miso Almonds (VG)
825	El Fant	['Gluten-free', 'Vegan', 'Vegetarian']	Snacks | Sourdough Toast (L)	Snacks | Sourdough Toast (L)
826	El Fant	['Gluten-free', 'Vegan', 'Vegetarian']	Snacks | Cheese Plate with homemade jam (L) : (3 kinds of cheese, 1 compote or jam)Served with rye crisps	Snacks | Cheese Plate with homemade jam (L): (3 kinds of cheese, 1 compote or jam)Served with rye crisps
827	Bistro Traba	['Gluten-free', 'Vegan', 'Vegetarian']	Brunch | Vaihtuva brunssi : Katso koko menu	Brunch | changing brunch: see the full menu
828	Green Hippo Punavuori	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | AVOKADOPASTA - THE NOTHING NEW : Avokado, chili, valkosipuli, basilikaöljy, parmesaani	Mains / avocado paste-the NOTHING NEW: avocado, chilli, garlic, basil oil, Parmesan
829	Green Hippo Punavuori	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | BUDDHA BOWL - READY, STEADY, ZEN! : Kvinoa, bataatti, kukkakaalipyree, punajuurihummus, porkkana, avokado, punakaali, granaattiomena, soijapapu, korianteri, chili. Tarjoillaan Nirvana-kastikkeen (chili, lime, inkivääri) kanssa.	Mains / BUDDHA BOWL-READY, STEADY, ZEN! : Quinoa, sweet potato, cauliflower puree, beetroot hummus, carrot, avocado, red cabbage, pomegranate, soybean, coriander, chili. Served with Nirvana sauce (chilli, lime, ginger).
830	Green Hippo Punavuori	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | NUUDELISALAATTI - GO NUTS : Lasinuudeli, porkkana, avokado, punakaali, parsakaali, maapähkinävoikastike	Mains / noodle salad-GO NUTS: Glass Noodle, carrot, avocado, red cabbage, broccoli, peanut butter sauce
831	Green Hippo Punavuori	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | OMENAPIIRAKKA : Tarjoillaan soija-vaniljakastikkeen kera	Desserts / apple pie: served with soy custard
832	Green Hippo Punavuori	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | SUKLAAKAKKU - BETTER THAN (MOST) SEX : Tarjoillaan talon jäätelön kera	Desserts / chocolate cake-BETTER THAN (MOST) SEX : served with house ice cream
833	Vapiano Mikonkatu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | PIATTO ANTIPASTI MASSIMO piccolo : Italialaista salamia, tulista italialaista makkaraa, ilmakuivattua kinkkua, italialaista kovaa juustoa, Camembert-juustoa, viinirypäleitä, oliiveja sekä leipätikkuja.	Starters / PIATTO ANTIPASTI MASSIMO piccolo: Italian salami, spicy Italian sausage, air-dried ham, Italian hard cheese, Camembert cheese, grapes, olives and breadsticks.
834	Vapiano Mikonkatu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | ANTIPASTI CON AGLIO : Pizzataikinasta tehtyä valkosipulilla ja rosmariinilla maustettua leipää	Starters / ANTIPASTI CON AGLIO: pizza dough made with garlic and Rosemary
